고유번호,언어,상호명,신주소,전화번호,웹사이트,운영시간,운영요일,휴무일,교통정보,,,,
5649,ko,서울풍물시장 전통문화체험관,02586 서울 동대문구 천호대로4길 21 (신설동 서울풍물시장) ,02-2232-3367,http://pungmul.or.kr/ab-1147-6?OTSKIN=layout_ptr.php&PB_1523004558=6,10:00~18:30/ 접수마감 18:00 휴게시간: 12:00~13:00,월~일,매달 두 번째 네 번째 화요일(월 2회 휴장),1호선 신설동 9번 출구 200M,,,,
1778,ko,목동 아이스링크,07990 서울특별시 양천구 안양천로 939  (목동) ,02-2649-8454,http://www.mdicerink.co.kr/,평일 PM 02:00 ~ PM 06:00 주말·공휴일 PM 12:00 ~ PM 06:00 방학 기간 AM 10:00 ~ PM 06:00 ,,구정·추석 당일 휴장,5호선 오목교 3번 출구 도보 10분  ,,,,
1747,ko,산울림소극장,04052 서울특별시 마포구 와우산로 157 지하 1층 소극장 산울림 (서교동) ,02-334-591525,http://tcsanwoollim.modoo.at/,공연별로 차이가 있음 사전 확인 요망 ,,공연별로 차이가 있음,2호선 신촌 8번 출구 도보 10~15분 ,,,,
1919,ko,명보아트홀,04549 서울 중구 마른내로 47 (초동 명보극장) ,02-2274-2121,http://anyonefnc.com/anyone_2014/page_06_n01.php,AM 10:00 ~ PM 10:00,,각 공연에 따라 다름,3호선 을지로3가역 8번 출구 도보 1분 4호선 충무로역 7번 출구 도보 5분 2호선 을지로3가역 8번 출구 도보 1분,,,,
2447,ko,충무아트센터,04569 서울 중구 퇴계로 387 (흥인동 충무아트센터) ,02-2230-6600,http://www.caci.or.kr/,공연 및 전시 : 공연에 따라 이용 시간에 차이가 있음  ARS: AM 09:30 ~ PM 06:30 (점심시간 PM 12:00 ~ PM 01:00) ,ARS: 월~금,ARS: 주말,6호선 신당 9번 출구 도보 3분  2호선 동대문 역사 문화공원 2번 출구 도보 10분  2호선 신당 1번 출구  ,,,,
11631,ko,시민청,04524 서울 중구 세종대로 110 (태평로1가 서울시청) ,02-120,http://www.seoulcitizenshall.kr/,동절기(11~2월) : 09:00~20:00  하절기(3~10월) : 09:00~21:00 ,월요일~일요일,1월1일 명절 당일,2호선 시청 4번출구 2호선 을지로입구 1번출구  1호선 시청 4번출구  ,,,,
1466,ko,서울랜드 ,13829 경기 과천시 광명로 181 (막계동 서울랜드) ,02-509-6000,http://www.seoulland.co.kr ,09:30 ~ 18:00 20:00 21:00 22:00(축제일정 및 공원사정에 따라 폐장시간 변경)   *매일 폐장시간이 달라지니 홈페이지에서 확인바랍니다.  *티켓판매와 입장은 공원 폐장 30분 전까지만 가능,월화수목금토일 ,,,,,,
27997,ko,그날 그 한복,03062 서울 종로구 율곡로1길 36 (사간동) ,02-2088-0995,http://www.hanbokthatday.co.kr,09:30~19:00 (경복궁 야간개장시 22:00까지),월-일,,3호선 안국역 1번 출구,,,,
24330,ko,해라 판타스틱,04517 서울 중구 통일로 120  ,02-3143-5959,https://www.facebook.com/HAERA.INC,17:00 20:00,월요일 ~ 일요일,,5호선 서대문역 6번 출구,,,,
2293,ko,태릉국제스케이트장 ,01794 서울 노원구 화랑로 681 (공릉동 태강릉) ,02-970-0501,http://www.icerink.or.kr ,10:00 ~ 18:00,월~일 ,,6호선 태릉입구역 7번 출구 셔틀버스 환승    6호선 화랑대역 1번 출구 셔틀버스 환승  ,,,,
22073,ko,성수동 유니온스타 볼링클럽,04782 서울 성동구 연무장7길 12 (성수동2가 세대빌딩) ,02-461-0707,http://blog.naver.com/unionstar78,10:00~02:00,월~일,,지하철 2호선 성수역 4번출구에서 100m이내,,,,
1618,ko,JUMP(점프) 전용극장,04549 서울 중구 마른내로 47 (초동 명보극장) 3층 점프전용극장,02-722-3995,http://www.hijump.co.kr/kr/,월 PM 08: 00  화~토 PM 05:00  PM 08:00  일ㆍ공휴일 PM 02:00 PM 06:00  ※ 매달 관람시간이 상이하니 홈페이지에서 확인바랍니다.,월~일,,지하철 23호선 을지로3가역 8번 출구 도보 3분 지하철 34호선 충무로역 7번 출구도보 7분 ,,,,
24732,ko,SJ쿤스트할레,06054 서울 강남구 언주로148길 5 (논현동) ,,http://sjkunsthalle.com/,평일 09:00 - 18:00 대관문의 평일 11:00 - 22:00 카페 평일 11:00 - 18:00 피규어갤러리(JDstudio),월~일,,분당선·7호선 강남구청역 3번 출구,,,,
11182,ko,서울마리나 요트&클럽,07231 서울 영등포구 여의서로 160 (여의도동) ,02-3780-8400,http://www.seoul-marina.com,매일 10:00 - 22:00,월~일,,9호선 국회의사당역 6번 출구,,,,
305,ko,세종문화회관,03172 서울 종로구 세종대로 175  (세종문화회관) ,02-399-1000,https://www.sejongpac.or.kr/portal/main/main.do,공연에 따라 이용 시간이 다름  * 현장 및 전화 예매 AM 09:00 ~ PM 08:00 (연중무휴),월~일,,5호선 광화문역 1번 8번 출구 도보 5분    3호선 경복궁역 6번 7번 출구 도보 10~15분 ,,,,
28037,ko,비스타 워커힐 서울,04963 서울 광진구 워커힐로 177 (광장동 워커힐호텔) ,02-465-2222,http://www.vistawalkerhillseoul.com/,매일 10:00~22:00 *SKYARD BAR 평일 14:00 - 21:00  주말 10:00 - 21:00 ,월~일,,5호선 광나루역 2번 출구 ,,,,
2802,ko,워커힐 카지노,04963 서울 광진구 워커힐로 177 (광장동 그랜드워커힐서울) ,1899-0700,http://www.paradisecasino.co.kr,연중 무휴 24시간 내국인 이용 불가,월~일,,5호선 광나루 호텔 셔틀버스 이용 2호선 강변 호텔 셔틀버스 이용,,,,
3674,ko,해치홀,04536 서울 중구 명동8길 27 (명동2가 엠 플라자) 5층,02-3789-7962,http://seoulculturalcenter.com/ko/about/#!/facilities,매일 10:30 - 18:30,월~일,,4호선 명동 6번 출구 도보 5 ~ 10분 2호선 을지로입구 6번 출구,,,,
28035,ko,우리유황온천,05102 서울 광진구 자양로5길 33 (자양동 와이엠프라젠스파) ,02-3436-0005,,평일 5:30~20:00 주말/공휴일 05:30 - 22:00 ,월~일,,2호선 구의역 4번 출구,오전 9시~오후 7시(평일) 오전 9시~오후 8시(주말) * 공예체험 오전 9시~오후 6시 (연중무휴),,,1호선 종각역 5번 출구 
20766,ko,시네코아셰프전용관,03191 서울 종로구 삼일대로 386 (관철동 시네코아) ,02-766-0815,http://www.musicalchef.net/view/index.html,월 20:00 화 ~ 일 17:00 20:00,월~일,,1호선 종로3가역 15번 출구 3호선 종로3가역 15번 출구 5호선 종로3가역 15번 출구,,,,
25768,ko,팝콘D스퀘어 ( POPCONDSQUARE) ,04377 서울 용산구 한강대로23길 55 (한강로3가 용산역) 현대 아이파크몰 6층 101호 팝콘D스퀘어,02-6373-3364,http://www.popcond.com/,평일(월-목) 10:30~ 20:30 주말(금-일) 10:30~ 21:00,월~일,,1호선 용산역 2번 출구 4호선 신용산역 3번 출구 ,,,,
34412,ko,컬러풀뮤지엄(COLORPOOL MUSEUM),03145 서울 종로구 인사동길 49 (관훈동) 안녕인사동 6층,02-6954-2872,http://colorpoolmuseum.com/,10:00 ~ 21:00 (20:20 매표마감),연중무휴,,3호선 안국역 6번 출구 / 1호선 종각역 3-1번 출구,,,,
34359,ko,세빛섬 튜브스터,06500 서울시 서초구 올림픽대로 2085-14 (반포동),02-713-1362,https://www.tubester.co.kr,주중: 16:00 ~ 24:00 주말: 14:00~24:00 (우천 강풍시 휴장 혹은 운행 시간 변경),매일,,지하철 379 호선 고속버스터미널역 6번 출구 (무료 셔틀버스 운행 매 15분),,,,
37194,ko,스터디룸 TRYGROUND ,08801 서울 관악구 남부순환로 1921-1 (봉천동 범산빌딩) ,070-4422-8060,http://tryground.co.kr/,,매일,,낙성대역 2번 출구,,,,
37839,ko,아크앤북 이태원점,04392 서울 용산구 장문로 23 (이태원동 몬드리안 서울 이태원) 아크앤북 이태원점 ,070-4258-2787,http://www.instagram.com/arc.n.book_official,10:00 ~ 22:00,매일,,6호선 이태원역 4번 출구에서 909m,,,,
39840,ko,카페 꼼마 합정점,04020 서울 마포구 포은로 49 (합정동) ,070-4179-2205,https://www.instagram.com/cafecomma__official/,10:00 ~ 21:00,매일,,6호선 망원역 2번 출구에서 680m,,,,
39726,ko,후암서재,04333 서울 용산구 두텁바위로1길 69-1 (후암동) ,070-4129-6552,https://www.instagram.com/huamsharedstudy/,10:00 ~ 18:00 (낮) 19:00 ~ 24:00 (밤),매일,,4호선 숙대입구역 2번 출구에서 383m,,,,
34505,ko,아이러브한식,03981 서울 마포구 동교로 282 (연남동) 2층,070-7786-1445,https://www.instagram.com/ilovehansik/,오전 9시 - 저녁 10시,매일,,2호선 홍대입구 3번 출구,,,,
36693,ko,미스터리 룸 이스케이프 홍대점,04049 서울 마포구 잔다리로 5-1 ,02-323-1314,http://www.mysteryroomescape.com/,10:00~23:00,매일,,2호선 홍대역 9번 출구,,,,
34361,ko,세라듀 도자기공방,06227 서울시 강남구 논현로 332 계유빌딩 B1,02-558-9654,https://www.ceradu.com,10:00 ~ 20:00 (수업에 따라 상이함 공휴일 10:00 ~ 19:00 예약시가능),매일,,2호선 역삼역 1번 출구,,,,
38104,ko,제로월드 강남점,06612 서울 서초구 서초대로73길 40 (서초동 강남오피스텔) 지하 1층,02-599-1661,http://www.zerogangnam.com,11:00 ~ 23:00,매일,,2호선 신분당선 강남역 10번 출구에서 399m,,,,
34360,ko,원밀리언 댄스 스튜디오,04784 서울시 성동구 뚝섬로 13길 33,02 - 512 - 6756,https://www.1milliondance.com/,평일 16:00~22:00 / 주말 15:00~21:30,매일,,2호선 성수역 3번 출구,,,,
374,ko,코엑스 아쿠아리움,06164 서울 강남구 영동대로 513 코엑스몰 B1 ,02-700-7200 (단체예약 02-700-7300),http://www.coexaqua.com,10:00 ~ 20:00 (입장마감 19:00),매일,,2호선 삼성역 5번 6번 출구와 연결된 코엑스 몰로 진입. 도보 10분    7호선 청담역 2번 출구 도보 15분,,,,
39734,ko,광진구 인덱스숍,05071 서울 광진구 아차산로 200 (자양동) 커먼그라운드 3층,02-2122-1259,https://www.instagram.com/indexshop.kr/,11:00 ~ 22:00,매일,,27호선 건대입구역 6번 출구에서 203m,,,,
34489,ko,콤콤오락실,04315 서울 용산구 백범로87길 51 (원효로1가) 콤콤오락실,,https://www.instagram.com/comcomplay/,00:00 ~ 24:00,매일,,1호선 남영역 1번 출구 4호선 삼각지역 9번 출구,,,,
39729,ko,더숲 초소책방,03033 서울 종로구 인왕산로 172 ,02-735-0206,https://chosobooks.com/,08:00 ~ 22:00,매일,,1020 7022 7212 버스 '윤동주문학관' 에서 하차 후 도보 15분 마을버스 09번 종점 '수성동계곡' 에서 하차 후 도보 20분,,,,
37367,ko,롯데월드 아쿠아리움,05551 서울 송파구 올림픽로 300 (신천동 롯데월드타워앤드롯데월드몰) ,02-1661-2000,http://www.lotteworld.com/aquarium/index.asp,월~목 10:00 ~ 20:00 (입장마감 19:00) 금~일 공휴일 10:00 ~ 21:00 (입장마감 20:00),매일,,,,,,
37891,ko,아쿠아플라넷63,07345 서울 영등포구 63로 50 (여의도동 63한화생명빌딩) ,02-1833-7001,https://www.aquaplanet.co.kr/63/index.do,10:00 ~ 19:00 (입장마감 18:30),매일,,,,,,
24755,ko,골든블루마리나,06500 서울 서초구 올림픽대로 2085-14 세빛섬 골든블루 마리나,02-599-0900,http://www.gbboat.com/kor/main/index.php,주중/주말 09:00~22:00,매년 3월~11월 ,,3·7·9호선 고속터미널역 8-1번 출구,,,,
3411,ko,명동예술극장,04534 서울 중구 명동길 35 (명동1가 명동예술극장) ,1644-2003,http://www.ntck.or.kr/,전화예매  - 평일 13:00~20:00 - 주말·공휴일 10:00~17:00 (점심시간 12:00~13:00),공연이 있는 날에 한해 공연 시작 1시간 반 전부터 매표소 운영,,4호선 명동 6번 출구 도보 10분  2호선 을지로입구 6번 출구 도보 10분  ,,,,
1733,ko,아르코(ArKo)예술극장,03086 서울특별시 종로구 대학로8길 7 (동숭동) ,02-3668-0007,http://theater.arko.or.kr,문의시간 화~일요일 AM 10:00 ~ PM 07:00  ※ 공연 프로그램 따라 이용시간이 다르니 홈페이지에서 확인바람,공연별로 차이가 있음,,4호선 혜화 2번 출구 도보 10분 ,,,,
37154,ko,테이블에이,04059 서울 마포구 와우산로 146 (창전동 그레이스빌딩) ,02-324-5542,https://tableashop.modoo.at/,매일 12:00 ~ 22:00,,,홍대입구역 6번 출구,,,,
15408,ko,리얼케이팝댄스(REAL K-POP DANCE),04004 서울시 마포구 동교로 19길 48 ,,http://www.realkpopdance.com/,10:00 ~ 21:00,,,홍대입구역 1번 출구에서 도보로 5분,,,,
360,ko,SM 사옥,06012 서울특별시 강남구 삼성로 648 ,02-6240-9800,http://www.smtown.com,,,,지하철 7호선 청담역 6번출구,,,,
15847,ko,뷰티블르바드,06072 서울 강남구 학동로97길 38 (청담동 더하우스) 4층 ,02-518-8066,http://www.btblvd.com/main/,11:00~24:00 ,,,지하철 7호선 청담역 12번출구 ,,,,
15402,ko,고척 스카이돔,08275 서울 구로구 경인로 430 (고척동 고척스카이돔) ,02-2128-2300,http://www.sisul.or.kr/open_content/skydome ,,,,지하철 1호선 구일역 2번 출구 나와서 도보 이동(5분),,,,
11873,ko,부티크모나코,06616 서울특별시 서초구 서초대로 397 (서초동) ,,,,,,신분당선 강남역 9번 출구 2호선 강남역 9번 출구,,,,
10290,ko,나무엑터스,135-010 서울특별시 강남구 언주로150길 34 (논현동) ,02-3444-1919,http://www.namooactors.com,,,,분당선 압구정로데오역 5번 출구,,,,
11360,ko,씨제스사옥,06054 서울 강남구 도산대로 310 (논현동 916빌딩) 5층,02-511-1459,http://www.c-jes.com,,,,분당선 압구정로데오역 5번 출구,,,,
11315,ko,FNC 사옥,06012 서울 강남구 도산대로85길 46 ,02-517-5426,http://www.fncent.com/,,,,분당선 압구정로데오역 2번 출구에서1000m 이내,,,,
24368,ko,SJ비보이즈 ‘쿵’ 페스티벌,04054 서울 마포구 와우산로 121  ,-5476,http://www.sjbboys.com/,,,,공항철도 홍대입구역 9번 출구 2호선 홍대입구역 9번 출구,,,,
12366,ko,MBC가든스튜디오,03925 서울 마포구 성암로 267 (상암동 (주)문화방송) ,02-789-0011,http://www.imbc.com/,,,,경의중앙선 수색역 1번 출구 경의중앙선 디지털미디어시티역 9번 출구 공항철도 디지털미디어시티역 9번 출구,,,,
24551,ko,호텔 카푸치노,06122 서울 강남구 봉은사로 155 (논현동 호텔 카푸치노) ,02-2038-9501,http://hotelcappuccino.co.kr/,,,,9호선 언주역 1번 출구,,,,
24394,ko,터치스카이 빵쇼,07345 서울 영등포구 여의동로 213 (여의도동 여의도금호리첸시아) ,070-4267-6683,http://www.pangshow.co.kr/,,,,9호선 샛강역 3번 출구,,,,
11372,ko,KBS홀,07235 서울 영등포구 여의공원로 13 (KBS 신관) / 여의대방로 359 (KBS별관) ,02-781-1000,http://www.kbs.co.kr/,,,,9호선 국회의사당역 4번 출구,,,,
1914,ko,여의도 한강공원 수영장,07337 서울특별시 영등포구 여의동로 330 한강사업본부 여의도안내센터 ,02-785-0478, http://hangang.seoul.go.kr/archives/46886,09:00 - 19:00,,,9호선 국회의사당 1번 출구  5호선 여의나루 2번 출구  ,,,,
32125,ko,항동철길 ,08358 서울 구로구 오리로 1189 (오류동 금강프라자) ,,,매일,,,7호선 천왕역 3번 출구 ,,,,
24668,ko,세종대 컨벤션센터,05006 서울 광진구 능동로 209 (군자동 세종대학교) ,02-3408-4459,http://convention.sejong.ac.kr/main.do,,,,7호선 어린이대공원역 6번 출구,,,,
10215,ko,MBK 엔터테인먼트,06099 서울 강남구 학동로 342 (논현동 에스케이 허브블루) 209,02-3453-9145,https://post.naver.com/my.nhn?memberNo=36638490,,,,7호선 분당선  강남구청역 2번 출구 ,,,,
5751,ko,뚝섬 한강공원 수영장, 서울특별시 광진구 동일로4길 56-10 (자양동) ,02-452-5955,,09:00 ~ 19:00 (6월말 ~ 8월 개장),,,7호선 뚝섬유원지 23번 출구,,,,
2101,ko,서울월드컵경기장,03932 서울특별시 마포구 월드컵로 240 (성산동) 월드컵주경기장,02-2128-2000,http://www.sisul.or.kr/open_content/worldcup/,09:00 ~ 18:00 (매주 월요일 / 명절 연휴 / 근로자의 날(5.1.) / 경기행사일 관람시간 제한) *월드컵몰의 경우 각 매장별로 차이가 있음 ,,,6호선 월드컵경기장 1번 2번 출구  ,,,,
5160,ko,난타전용관(홍대),04039 서울 마포구 양화로16길 29 (홍익몰) ,02-739-8288,http://www.nanta.co.kr/,홈페이지 참조,,,6호선 상수역 1번 출구 도보 10분    2호선 홍대입구역 9번 출구 도보 5분,,,,
11525,ko,롤링홀,04048 서울 마포구 어울마당로 35 (서교동) ,02-325-6071,http://www.rollinghall.co.kr,12:00 - 22:00 공연에 따라 다르므로 홈페이지 확인 바랍니다.,,,6호선 상수 1번출구 → 100M정도 가다가 우측의 주차장 골목에서 두 번째 건물 (소요시간 : 5분 정도)  ,,,,
2940,ko,하얏트 아이스링크,04347 서울 용산구 소월로 322 (한남동 하얏트호텔) ,02-799-8113,https://seoul.grand.hyatt.com/ko/hotel/activities/hotel-activities/iceskating.html,평일 PM 12:00 ~ PM 09:00 주말·공휴일 AM 10:00 ~ PM 09:00  *2017년 2월 28일 시즌 종료,,,6호선 녹사평 1번 출구로 나와 건널목을 건너 마을버스 3번 승차  ,,,,
11307,ko,콘래드 서울 호텔,07326 서울특별시 영등포구 국제금융로 10  (여의도동) ,02-6137-7000,http://www.conradseoul.co.kr,체크인 PM 04:00 체크아웃 AM 11:00,,,5호선 여의도 3번출구 지하 IFC몰을 통하여 L1에서 콘래드 서울 연결,,,,
12498,ko,메이필드 호텔,07506 서울특별시 강서구 방화대로 94 (외발산동) ,02-2660-9000,http://www.mayfield.co.kr/,체크인 PM 03:00 체크아웃 PM 11:00 ,,,5호선 송정 3번 출구 김포공항역 1번 출구에서 셔틀버스 이용  ,,,,
24350,ko,쇼비보이,04518 서울 중구 정동길 3  ,02-2266-3727,,,,,5호선 서대문역 5번 출구,,,,
2872,ko,한강 자전거 코스,143-300 한강 공원 ,02-3780-0772,,,,,5호선 방화역 1번 2번 출구 06번 버스 탑승 후 강서습지생태공원 하차 5호선 여의나루역 2번 3번 출구 도보 5분 7호선 뚝섬유원지역 2번 3번 출구 도보 5분  ,,,,
11252,ko,JYP엔터테인먼트,05407 서울 강동구 강동대로 205 (성내동 JYP Center) ,02-2225-8100,http://www.jype.com,,,,5호선 둔촌동역 3번 출구에서 1200m 이내,,,,
29502,ko,라바타운,03176 서울 종로구 경희궁1길 1 (신문로2가 주식회사 투바앤) ,투바앤굿즈 매장 +82-70-4609-6492<br>카페윙클 +82-70-4609-6491,http://tubaani.com/,10:00~20:00,,,5호선 광화문역 7번 출구 3호선 경복궁역 7번 출구,,,,
3663,ko,학전블루소극장,03086 서울 종로구 대학로12길 46 (삼광빌딩) ,02-763-8233,http://hakchon.co.kr/,공연에 따라 이용시간이 다름 (사전 확인 요망),,,4호선 혜화역 1번 출구  ,,,,
2256,ko,정보소극장,03086 서울특별시 종로구 대학로12길 38 정보빌딩 1층 (동숭동) ,02-3673-0554,,공연작에 따라 이용시간이 다름  사전 확인 요망,,,4호선 혜화 1번 출구 도보 10분,,,,
6529,ko,남산예술센터,04628 서울특별시 중구 소파로 138  (예장동) ,02-758-2150,http://www.nsac.or.kr/Home/Main.aspx,평일 10:00 - 18:00 * 공연시간은 작품에 따라 다르므로 홈페이지를 확인 바랍니다.,,,4호선 충무로 5번 출구에서 도보 20분 4호선 명동 1번 출구에서 도보 10분,,,,
11186,ko,아리랑 영화의 거리,02827 서울특별시 성북구 돈암동 ~ 정릉동 일대,02-120,,,,,4호선 성신여대입구 5번 6번 출구 도보 5분 ,,,,
5791,ko,난타전용관(명동),04536 서울 중구 명동길 26 (명동2가 유네스코회관) ,02-739-8288,http://www.nanta.co.kr/,홈페이지 참조,,,4호선 명동역 6번 출구 도보 10분    2호선 을지로입구역 5 6번 출구 도보 5분  ,,,,
28456,ko,더리버,06500 서울 서초구 신반포로11길 39 (한강반포지구 내 유선장) The River,-2490,http://www.the-river.co.kr/,,,,4·9호선 동작역 2번 출구 9호선 구반포역 2번 출구 3·9호선 고속버스터미널역 ,,,,
1278,ko,서울남산국악당,04626 서울 중구 퇴계로34길 28 (남산한옥마을) ,02-2261-0500,http://hanokmaeul.or.kr/,강좌 공연에 따라 차이가 있음.  *해당 공연 일정 확인 요망,,,3호선 충무로역 3번 4번 출구 도보 5분    4호선 충무로역 3번 4번 출구 도보 5분,,,,
2768,ko,서울극장,03192 서울 종로구 돈화문로 13 (관수동 서울극장) ,02-2269-2700,http://www.seoulcinema.com,09:00 ~ 24:00  상영작에 따라 이용 시간에 차이가 있음,,,3호선 종로3가 14번 출구 5호선 종로3가 14번 출구 1호선 종로3가 14번 출구,,,,
25016,ko,아원공방,03053 서울 종로구 인사동길 44 쌈지길 (관훈동) ,02-735-3482 ,https://www.ah-won.com/,매일 10:30 - 19:30 일요일 11:00 - 19:00,,,3호선 안국역 6번 출구,,,,
24596,ko,서울돈화문국악당,03134 서울 종로구 율곡로 102 (와룡동 서울돈화문국악당) ,02-3210-7001,http://sdtt.or.kr/user/,,,,3호선 안국역 4번 출구,,,,
37043,ko,ONDO STUDIO,03052 서울 종로구 북촌로5나길 114 (삼청동) ,,https://www.instagram.com/ondo_studio/,,,,3호선 안국역 2번 출구,,,,
3399,ko,금현국악원, 서울특별시 종로구 윤보선길 27 (안국동) ,02-723-8585,http://www.wonjh.com,개인 사정에 의해 이용 시간 변동 가능,,,3호선 안국역 1번 출구 도보 10분,,,,
10565,ko,두 게스트하우스 (북촌),03056 서울 종로구 계동길 103-7 (계동) ,02-3672-1977,http://www.dooguesthouse.com/kr/,,,,3호선 안국 3번 출구 이용 도보 5분 거리  ,,,,
24498,ko,영빈관(신라호텔),04605 서울 중구 동호로 249 (장충동2가 신라호텔) ,02-2230-3131,https://www.shillahotels.com/index.do#,,,,3호선 동대입구역 5번 출구,,,,
3988,ko,예술의 전당,137-070 서울특별시 서초구 남부순환로 2406  (서초동) ,02-580-1300,http://www.sac.or.kr/SacHome/sachome/main,공연에 따라 이용 시간이 다름,,,3호선 남부터미널 5번 출구 셔틀버스 이용  3호선 양재 1번 출구 초록(지선)버스 17번 (약 10-15분 소요)  2호선 서초 3번 출구 초록(지선)버스 11번 (약 5-10분 소요)  ,,,,
11171,ko,YG 엔터테인먼트,04028 서울 마포구 희우정로1길 3 (YG엔터테인먼트) ,,http://www.ygfamily.com,,,,2호선 합정역 8번출구 6호선 합정역 8번 출구,,,,
2643,ko,잠실야구장,138-220 서울특별시 송파구 올림픽로 25 (잠실동) ,1661-0965,,경기에 따라 이용 시간이 다름 사전 확인 요망,,,2호선 종합운동장 5번 6번 출구 도보 5분,,,,
405,ko,롯데월드 아이스링크,05554 서울 송파구 올림픽로 240 (롯데월드) ,02-1661-2000,http://www.lotteworld.com/icerink/,12:00 - 20:00,,,2호선 잠실역 4번 출구 연결   ,,,,
24378,ko,난타,04536 서울 중구 명동길 26 (명동2가 유네스코회관) ,02-739-8288,https://www.nanta.co.kr:452/,,,,2호선 을지로입구역 5번 출구,,,,
1780,ko,민속극장 풍류,06153 서울 강남구 봉은사로 406 (삼성동 서울중요무형문화재전수회관) ,02-3011-2178,https://www.facebook.com/Pungryu,목요 상설기획공연 이야기 풍류 오후 7:30 시작 화 목 금 토요일 국가무형문화재 초청공연 진행 ※ 티켓은 당일 공연시작 2시간 전부터 발권,,,2호선 선릉역 8번 출구  분당선 선정릉역 3번 출구,,,,
12028,ko,호텔 더 디자이너스 삼성점,06158 서울특별시 강남구 테헤란로79길 7 (삼성동) ,02-568-8371,http://hotelthedesigners.com/samseong,체크인 15:00 체크아웃 12:00,,,2호선 선릉 10번 출구에서 약 700m,,,,
2789,ko,문래동 예술촌,150-093 서울특별시 영등포구 도림로128가길 13-8 ,02-120,http://cafe.naver.com/mullaeartvillage,각 스튜디오별로 이용 시간이 다름,,,2호선 문래 1번 7번 출구 도보 5분  ,,,,
18806,ko,그랜드 워커힐 서울렛츠런 문화공감센터,04963 서울 광진구 워커힐로 177 (광장동 그랜드워커힐서울) ,1566-3333,http://www.kra.co.kr/walkerhill/index.do,계절에 따라 다름(홈페이지 확인),,,2호선 강변역 1번 출구(셔틀버스 이용) 5호선 광나루역 2번 출구 맞은편(셔틀버스 이용),,,,
13052,ko,그랜드 워커힐 서울,04963 서울특별시 광진구 워커힐로 177 (광장동 그랜드워커힐서울) ,02-455-5000,http://www.grandwalkerhillseoul.com/,체크인 PM 15:00 체크아웃 AM 12:00,,,2호선 강변 1번 출구에서 셔틀버스 이용  ,,,,
37890,ko,세운청계상가,04545 서울 중구 청계천로 160 (산림동 세운청계상가) ,02-2264-8511,http://sewoon.org/,,,,25호선 을지로4가역3번 출구에서 290m,,,,
40281,ko,로컬스티치 크리에이터 타운 을지로,04559 서울 중구 창경궁로 20 (예관동) 로컬스티치 크리에이터 타운 을지로,02-2278-8601,http://localstitch-creatortown.com/,,,,25호선 을지로 4가역 8번 출구에서 254m,,,,
24561,ko,KT&G 상상마당,04042 서울 마포구 어울마당로 65 (서교동 상상마당빌딩) ,02-330-6200,https://www.sangsangmadang.com/,,,,2·6호선 합정역 3번 출구,,,,
24340,ko,명보아트홀 [드럼캣],04549 서울 중구 마른내로 47 (명보극장) ,02-2-2274-2121,,,,,2·3호선 을지로3가역 8번 출구,,,,
1453,ko,두산아트센터,03129 서울 종로구 종로33길 15 (연지동 두산아트센터) ,02-708-5001,http://www.doosanartcenter.com,공연에 따라 차이가 있음,,,1호선 종로5가역 1번 출구 도보 5분,,,,
39311,ko,맹그로브 신설,02582 서울 동대문구 왕산로 22 (라마다 앙코르 동대문 호텔) 맹그로브 신설점,,http://mangrove.city/,,,,1호선 신설동역 4번 출구에서 50m,,,,
24710,ko,정동마루,04518 서울 중구 정동길 43 (정동 정동극장) ,02-751-1500,https://www.jeongdong.or.kr/portal/main/main.do,,,,1호선 시청역 1번·2번·12번 출구    5호선 서대문역 5번 출구 도보 10분    5호선 광화문역 6번 출구  ,,,,
24650,ko,63컨벤션센터,07345 서울 영등포구 63로 50 (63한화생명빌딩) ,02-789-5700,http://www.63convention.co.kr/home/63WEDDING/index.jsp,,,,1호선 대방역 6번 출구 5호선 여의나루역 4번 출구 5호선여의도역 5번 출구 9호선 샛강역 1번출구,,,,
29564,ko,서울여성플라자,06939 서울 동작구 여의대방로54길 18 (대방동 서울여성플라자) ,02-810-5075,http://www.seoulwomen.or.kr/c2/sub4.jsp,,,,1호선 대방역 2 3번 출구,,,,
25929,ko,탈방 ,03146 서울 종로구 인사동길 48 (관훈동) ,02-734-9289,https://talbang.modoo.at/,10:30 - 19:00,,,,,,,
25927,ko,명신당필방,03148 서울 종로구 인사동길 34 (관훈동) ,02-722-2466,,10:00~18:00,,,,,,,
27813,ko,북촌목공예공방,03057 서울 종로구 계동6길 12 (계동) ,02-725-1061,,10:00~17:00,,,,,,,
56,ko,서울의 밤을 즐기자 : 홍대 일대 경리단 길,04051 서울 마포구 양화로 지하 188 (동교동 홍대입구역) ,,,,,,,,,,
15965,ko,한류관광지,  ,,,,,,,,,,
