역이름,lat,lng,호선
성복역,37.31351,127.08037,신분당선
상현역,37.29783,127.06934,신분당선
광교중앙역,37.28837,127.05172,신분당선
광교역,37.30211,127.04426,신분당선
기흥역,37.27544,127.11704,용인경전철
강남대역,37.27017,127.12605,용인경전철
지석역,37.26973,127.13665,용인경전철
어정역,37.27494,127.14374,용인경전철
동백역,37.26909,127.15268,용인경전철
초당역,37.2608,127.15945,용인경전철
삼가역,37.24204,127.16818,용인경전철
시청.용인대역,37.23943,127.17888,용인경전철
명지대역,37.23806,127.19028,용인경전철
김량장역,37.23731,127.19859,용인경전철
운동장.송담대역,37.2379,127.20912,용인경전철
고진역,37.24463,127.21417,용인경전철
보평역,37.25904,127.21847,용인경전철
둔전역,37.2672,127.21362,용인경전철
전대.에버랜드역,37.28546,127.21938,용인경전철
북한산우이역,37.66299,127.01274,우이신설경전철
솔밭공원역,37.65598,127.01326,우이신설경전철
4·19민주묘지역,37.64953,127.01369,우이신설경전철
가오리역,37.64163,127.01677,우이신설경전철
화계역,37.63408,127.01749,우이신설경전철
삼양역,37.62691,127.01815,우이신설경전철
삼양사거리역,37.62131,127.02048,우이신설경전철
솔샘역,37.62025,127.01357,우이신설경전철
북한산보국문역,37.61212,127.00825,우이신설경전철
정릉역,37.6026,127.01352,우이신설경전철
성신여대입구역,37.59296,127.01712,우이신설경전철
보문역,37.58554,127.01999,우이신설경전철
신설동역,37.57602,127.02445,우이신설경전철
소사역,37.48279,126.79563,서해선
소새울역,37.46851,126.79727,서해선
시흥대야역,37.4501,126.79298,서해선
신천역,37.43924,126.78677,서해선
신현역,37.40956,126.78783,서해선
시흥시청역,37.38155,126.80593,서해선
시흥능곡역,37.36994,126.80871,서해선
달미역,37.34878,126.8094,서해선
선부역,37.3344,126.80998,서해선
초지역,37.32066,126.80595,서해선
시우역,37.31315,126.79573,서해선
원시역,37.30261,126.78678,서해선
양촌역,37.64173,126.61468,김포골드
구래역,37.64527,126.62794,김포골드
마산역,35.2362,128.57717,김포골드
장기역,37.64405,126.66907,김포골드
운양역,37.65377,126.68383,김포골드
걸포북변역,37.63163,126.70579,김포골드
사우역,37.62,126.72042,김포골드
풍무역,37.61266,126.73234,김포골드
고촌역,37.60121,126.77032,김포골드
김포공항역,37.56195,126.80191,김포골드
