PlaceNumber,Class,PlaceName,LineNumber,Station,Address,Telephone,Image,Website,OpeningHours,Fee,Closed,PayFree
118,공연/전시장,국립국악원,3,남부터미널역,서울 서초구 서초동  남부순환로 2364,02-580-3333,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100195&thumb=Y,http://www.gugak.go.kr,,,,유료
119,기타,국립국어원 우리말 꿈터,5,방화역,서울 강서구 방화동 827,02-2669-9687,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100914&thumb=Y,www.korean.go.kr,,,토ㆍ일요일 관공서의 공휴일,
120,공연/전시장,국립극단 백성희장민호극장,"1, 4, 공항",서울역,서울 용산구 청파로 373,1644-2003,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101057&thumb=Y,http://www.ntck.or.kr/ko,,,,
121,공연/전시장,국립극단 소극장 판,"1, 4, 공항",서울역,서울 용산구 청파로 373,1644-2003,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101035&thumb=Y,http://www.ntck.or.kr,,,,
122,공연/전시장,국립극장,3,동대입구역,서울 중구 장충단로 59,02-2280-4114,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=fa3180c7f0644a7ea4c338440e107bd9&thumb=Y,https://www.ntok.go.kr,,공연에 따라 다름,공휴일,유료
123,박물관/기념관,국립민속박물관,3,안국역,서울 종로구 세종로 1-1,02-734-1346,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100432&thumb=Y,www.nfm.go.kr,3월 10월 09:00~18:0011월 2월 09:00~17:00,일반 3000원청소년 1500원,매주 화요일1월 1일,유료
124,문화예술회관,국립박물관문화재단,3,경복궁역,서울 용산구 서빙고로 137,1544-5955,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101452&thumb=Y,https://www.cfnmk.or.kr/user/main/main.do,,,주말 및 공휴일,
125,박물관/기념관,국립서울과학관,4,혜화역,서울 종로구 와룡동 110-360,02-3675-5114,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100460&thumb=Y,www.ssm.go.kr,09:30~17:50,일반 1000원학생 500원,월요일 및 공휴일,유료
126,유적지,국립서울현충원,"4, 9",동작역,서울 동작구 동작동 271-18,02-813-9625,,,,,,
127,공연/전시장,국립중앙극장,3,동대입구역,서울 중구 장충동2가 14-67,02-2280-4114,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100524&thumb=Y,http://www.ntok.go.kr/,,,,유료
128,박물관/기념관,국립중앙박물관,"4, 경의중앙",이촌역,서울 용산구 서빙고로 137,02-2077-9000,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f3c4a0327101416098bdf70b526aa2cf&thumb=Y,www.museum.go.kr,,0,1월1일 설날(2.1.) 추석(9.10.) / 상설전시실 정기휴실일: 매년 4월 11월(첫째 월요일),무료
129,공연/전시장,국립중앙박물관 극장 용,"4, 경의중앙",이촌역,서울 용산구 용산동6가 168-6,02-1544-5955,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100294&thumb=Y,http://www.theateryong.or.kr/,,,,유료
130,박물관/기념관,국립한글박물관,"4, 경의중앙",이촌역,서울 용산구 용산동6가 412-6,02-2124-6200,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100971&thumb=Y,http://www.hangeul.go.kr,,,법정공휴일(한글날제외),
131,미술관,국립현대미술관,"1, 2",시청역,서울 중구 정동 세종대로 99,02-2022-0600,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100698&thumb=Y,http://www.moca.go.kr,화~목 : 오전 9시~오후 7시  금~일 : 오전 9시~오후 8시30분,,매주 월요일,무료
132,미술관,국립현대미술관 덕수궁관,"1, 2",시청역,서울 중구 세종대로 99,02-2022-0600,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101106&thumb=Y,http://www.mmca.go.kr/main.do,,,매주 월요일,
133,미술관,국립현대미술관 서울,3,안국역,서울 종로구 삼청로 30,02-3701-9500,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100885&thumb=Y,http://www.mmca.go.kr,화 목 금 일 10:00 ~ 18:00 수 토 10:00 ~ 21:00(야간개장 오후 6~9시 무료관람),통합입장권 4000원,1월 1일,유료
134,박물관/기념관,국민대학교 박물관,4,길음역,서울 성북구 정릉동  정릉로 77,02-910-4212,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100235&thumb=Y,http://museum.kookmin.ac.kr,10:00~17:00,무료,국정 공휴일,무료
135,미술관,국제갤러리,3,안국역,서울 종로구 소격동 59-1,02-735-8449,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100434&thumb=Y,http://www.kukje.org/,10:00 ~ 18:00 (화~토) 10:00 ~ 17:00 (일),무료,매주 월요일,무료
136,박물관/기념관,근현대사기념관 ,9,4.19민주묘지역,서울 강북구 4.19로 114,02-903-7580,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4570377dfb0c4e91a14e780b0d283932&thumb=Y,mhmh.or.kr,,0,매주 월요일 (단 월요일이 공휴일인 경우 개관하고 다음 평일에 휴관)  1월 1일 설 추석 연휴 강북구청이 지정한 날,무료
137,공연/전시장,금나래아트홀,1,금천구청역,서울 금천구 시흥대로73길 70,02-2627-2999,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=c65adc94231a45d5b8dabf9c038e91d4&thumb=Y,https://gcfac.or.kr/mpage,,0,일요일 공휴일,무료
138,공연/전시장,금빛공원 야외공연장,1,금천구청역,서울 금천구 독산동 371-2,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100122&thumb=Y,,,,,유료
139,기타,금빛휘트니스센터,1,금천구청역,서울 금천구 시흥동 금하로 668,02-802-9685~6,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100811&thumb=Y,http://www.gfmc.co.kr/,,유료,,유료
140,박물관/기념관,금성당샤머니즘박물관,3,구파발역,서울 은평구 진관2로 57-23,02-389-6522,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100988&thumb=Y,www.shamanismmuseum.org,,,월화 수토일,
141,문화예술회관,금천마을활력소 어울샘,2,구로디지털단지역,서울 금천구 탑골로 22,02-809-7860,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101189&thumb=Y,https://www.facebook.com/eoulsam,,,,
142,미술관,금천예술공장,1,독산역,서울 금천구 범안로15길 57,02-807-4800,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=92236b8c63104b78b94c36c1352df569&thumb=Y,http://www.sfac.or.kr/,,,없음,무료
143,미술관,금호미술관,3,안국역,서울 종로구 사간동 78,02-720-5114,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100422&thumb=Y,http://www.kumhomuseum.com/,10:00~18:00,전시회 성격에따라 다름,신정 추석 설날 월요일,유료
144,공연/전시장,금호아트홀,2,신촌역,서울 종로구 신문로1가  새문안로 75,02-6303-7700,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100441&thumb=Y,http://www.kumhoarthall.com,,,,유료
145,박물관/기념관,기생충박물관,9,가양역,서울 강서구 화곡로 333,02-2601-3283,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=f5f115388d8a40f7b2daab95568b6b9b&thumb=Y,http://www.parasite.or.kr/,,0,일요일 공휴일,무료
146,공연/전시장,김동수플레이하우스,4,혜화역,서울 종로구 연건동 178-1,02-3675-4675,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100453&thumb=Y,,,,,유료
147,미술관,김영섭사진화랑,3,안국역,서울 종로구 관훈동 169-2,02-733-6331~2,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100345&thumb=Y,http://www.gallerykim.com/,10:00~19:00,,연중무휴,유료
148,미술관,김영옥 미술관,5,광화문역,서울 종로구 창의문로10길 11,02-391-1218,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101553&thumb=Y,www.magmasup.com,,,없음,무료
149,유적지,김유신장군동상,4,회현역,서울 중구 남창동 204-2,,,,,,,
150,공연/전시장,김중업 건축문화의집,6,상월곡역,서울 성북구 장위로21나길 11,02-6903-3136,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=b48f2f5cfef84ad1a2fa7cadbafca563&thumb=Y,https://www.sbculture.or.kr/culture/index.jsp,,0,매주 일요일 월요일 공휴일,무료
151,박물관/기념관,김치박물관,9,봉은사역,서울 강남구 삼성동 159,02-6002-6456,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100023&thumb=Y,www.kimchimuseum.co.kr,화~일 10:00~18:00,일반 3000원초중고생 2000원유아 1000원,월요일신정 구정추석연휴,유료
152,기타,꼬스트홀,"2, 3",을지로3가역,서울 중구 명동2가 1-1,02-774-1784,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100506&thumb=Y,http://www.mdsd.or.kr/,,,,유료
153,문화예술회관,나루아트센터,"2, 7",건대입구역,서울 광진구 자양동 227-344,02-2049-4700,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100106&thumb=Y,http://www.naruart.or.kr/,,,,유료
154,유적지,낙성대,2,낙성대역,서울 관악구 낙성대로 77,,,,,,,
155,유적지,남산골한옥마을,"3, 4",충무로역,서울 중구 퇴계로 34길 28,02-2261-0517,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=26dfbdc02a6a4dd1a073739fee295466&thumb=Y,http://hanokmaeul.seoul.go.kr,4월 ~ 10월 : 09:00 ~ 21:00 / 11월 ~ 3월 : 09:00 ~ 20:00,,매주 월요일 ,무료
156,기타,남산공원 호현당,4,회현역,서울 중구 회현동1가 산 1-44,02-3783-5995,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=1426dc7b7d7745edad4fd8b23ab71d38&thumb=Y,http://parks.seoul.go.kr/,,0,매주 월화,무료
157,유적지,남산봉수대,4,명동역,서울 중구 예장동,02-2260-1114,,,,,,
158,공연/전시장,남산예술센터드라마센터,4,명동역,서울 중구 예장동 8-19,02-778-0621,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100515&thumb=Y,http://www.nsartscenter.or.kr/,공연에 따라 다름,,공연에 따라 다름,유료
159,미술관,남산전시관,6,한강진역,서울 용산구 이태원동 258-148,02-753-2563,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100298&thumb=Y,,하절기(3월 ~ 10월): 09:00 ~ 18:00동절기(11월 ~ 2월): 09:00 ~ 17:00,무료,매주 월요일,무료
160,기타,내곡느티나무쉼터,신분당선,양재시민의숲역,서울 서초구 염곡말길 9,02-571-1672,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101247&thumb=Y,http://www.seocho.go.kr/site/seocho/04/10402011000002017020804.jsp,,,,
161,기타,노들섬 복합문화공간,9,노들역,서울 용산구 양녕로 445,02-749-4500,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a56628300474441382016ed4bef5764c&thumb=Y,http://nodeul.org/,,0,매주 월요일,무료
162,기타,노원구민체육센터,7,중계역,서울 노원구 중계동 507-3,02-949-8416~9,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100136&thumb=Y,http://gongdan.nowon.kr,,,,유료
163,문화예술회관,노원문화예술회관,7,하계역,서울 노원구 중계로 181,02-2289-3400,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101437&thumb=Y,https://www.nowonart.kr/,,,행사 일정에 따름,
164,공연/전시장,노원어린이극장,"4, 7",노원역,서울 노원구 노해로 502,02-2289-3453,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101552&thumb=Y,https://www.nowonarts.kr/html/,,,공연에 따라 상이,무료
165,미술관,노화랑,3,안국역,서울 종로구 관훈동 103,02-732-3558,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100346&thumb=Y,,09:00 ~ 18:00,무료,일요일 공휴일(전시기간 제외),무료
166,박물관/기념관,농업박물관,5,서대문역,서울 중구 충정로1가 100-707,02-2080-5727~8,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100542&thumb=Y,http://museum.nonghyup.com,09:30~18:00,무료,매주 월요일 신정 설 추석 연휴,무료
167,유적지,다산정약용동상,"1, 4",서울역,서울 용산구 소월로 108,,,,,,,
168,공연/전시장,단막극장,4,혜화역,서울 종로구 동숭동 12-6,02-765-1544,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100382&thumb=Y,,평일:09:30-23:00 토요일:09:30-23:00 일요일:09:30-23:00,,,유료
169,공연/전시장,단성사,"1, 3, 5",종로3가역,서울 종로구 묘동 56,02-3674-6000,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100417&thumb=Y,http://www.dansungsa.com/,,,,유료
170,유적지,대동문,4,수유역,서울 강북구 4.19로28길 19-9,,,,,,,
171,미술관,대림미술관,3,경복궁역,서울 종로구 통의동 35-1,02-720-0667,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100478&thumb=Y,http://www.daelimmuseum.org/,10:00~18:00,일반 4000원초중고생 2000원,월요일 추석신정 구정당일,유료
172,미술관,대안공간 풀,3,경복궁역,서울 종로구 구기동 56-13,02-396-4805,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100365&thumb=Y,http://www.altpool.org/,하절기 11:00 ~ 19:00 / 동절기 11:00 ~18:30 단 수요일은12:00 ~ 20:00,무료,연중무휴 (명절제외,무료
173,공연/전시장,대원 컨텐츠 라이브,"1, 경의중앙",용산역,서울 용산구 한강대로23길 55,02-6373-3000,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101094&thumb=Y,http://www.popcond.com/shop/list.php?ca_id=3020,,,,
174,기타,대진체육관,3,대청역,서울 강남구 개포동 13-1,02-2176-0880,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100839&thumb=Y,http://www.kncity.or.kr,,,,무료
175,공연/전시장,대학로 열린 극장,4,혜화역,서울 종로구 명륜2가 21-18,02-743-6472,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100413&thumb=Y,,,,,유료
176,공연/전시장,대학로극장,4,혜화역,서울 종로구 연건동 178-1,02-764-6052,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100454&thumb=Y,,,,,유료
177,기타,대학로연습실,4,혜화역,서울 종로구 동숭길117,02-747-7805,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5c03ed48708c4723a438d7117749f8bf&thumb=Y,https://www.sfac.or.kr/artspace/artspace/daehakro_main.do,,,공휴일,유료
178,공연/전시장,대한극장,"3, 4",충무로역,서울 중구 충무로4가 125,02-3393-3500,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100540&thumb=Y,http://www.daehancinema.com/,,,,유료
179,박물관/기념관,덕성여자대학교 박물관,우이신설,솔밭공원역,서울 도봉구 쌍문동 419,02-901-8131~3,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100141&thumb=Y,http://museum.duksung.ac.kr,월~금 10:00~16:00,무료,토일요일 법정공휴일,무료
180,유적지,덕수궁,"1, 2",시청역,서울 중구 세종대로 99,02-771-9951,,,,,,
181,유적지,덕수궁광명문,"1, 2",시청역,서울 중구 세종대로 99,,,,,,,
182,유적지,덕수궁대한문,"1, 2",시청역,서울 중구 세종대로 99,,,,,,,
183,유적지,덕수궁보루각자격루,"1, 2",시청역,서울 중구 정동,,,,,,,
184,유적지,덕수궁석어당,"1, 2",시청역,서울 중구 세종대로 99,,,,,,,
185,유적지,덕수궁정관헌,"1, 2",시청역,서울 중구 세종대로 99,,,,,,,
186,유적지,덕수궁중화문,"1, 2",시청역,서울 중구 세종대로 99,,,,,,,
187,유적지,덕수궁즉조당,"1, 2",시청역,서울 중구 세종대로 99,,,,,,,
188,미술관,덕원갤러리,"1, 3, 5",종로3가역,서울 종로구 인사동 15길 24,02-723-7773,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100472&thumb=Y,,하절기 10:00 ~ 19:00 동절기 10:00 ~ 18:00주말. 공휴일 10:00 ~ 15:00,무료,연중무휴,무료
189,공연/전시장,도봉구민청 1층 갤러리,1,방학역,서울 도봉구 마들로 656,02-3494-6474,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=241378e8b3164905827930e423b6c6ed&thumb=Y,http://dbfac.or.kr/front/dbgmc/gmcIntro.do,,0,1월 1일 설날 추석 기타 공휴일 및 도봉구청장이 운영상 휴관일 필요하다고 정하는 날 (휴관일 10일전 공지),무료
190,문화예술회관,도봉문화재단,"1, 4",창동역,서울 도봉구 노해로63길 43,02-908-2900,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=03e0b4387c24464aafe992a3f0a320a6&thumb=Y,http://www.dbfac.or.kr/,,0,토일,무료
191,박물관/기념관,도산안창호 기념관,수인분당,압구정로데오역,서울 강남구 신사동 649-9,02-541-1800,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100039&thumb=Y,www.ahnchangho.or.kr,평일 10:00~16:00 토요일 공휴일 10:00?14:00,무료,매주 일요일ㆍ설날ㆍ추석,무료
192,공연/전시장,도원극장,3,녹번역,서울 은평구 녹번동 79-2,02-355-3775,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100314&thumb=Y,,,,,유료
193,유적지,도편수이승업가옥,"3, 4",충무로역,서울 중구 퇴계로 34길 28,,,,,,,
194,유적지,독립문,3,독립문역,서울 서대문구 현저동 941,,,,,,,
195,박물관/기념관,돈의문박물관마을,5,서대문역,서울 종로구 송월길 14-3,02-739-6994,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100968&thumb=Y,http://dmvillage.info,,,매주 월요일 1월 1일,무료
196,문화예술회관,돈화문 서울무형문화재교육전시장,3,안국역,서울 종로구 율곡로 10길 13,02-742-6444,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=8637df0446fb4e86a6a7a65572633b4c&thumb=Y,www.seoulmaster.co.kr,오전 11시 ~ 오후 5시,전시 무료  교육/체험 유료,매주 월요일,유료
197,박물관/기념관,동국대학교 박물관,3,동대입구역,서울 중구 필동3가 26,02-2260-3462,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100549&thumb=Y,dgumuseum.dongguk.edu,월~금 10:00~16:00,무료,토일요일,무료
198,기타,동대문구민체육센터,5,장한평역,서울 동대문구 장안벚꽃로 67,02-2247-9772~5,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100754&thumb=Y,http://www.dfmc.kr,평일 : 06:00~21:50 / 휴토요일 : 06:00~17:50,,매주 일요일 휴관(대관시에만 부분 개방),유료
199,공연/전시장,동대문구청 아트갤러리,2,용두역,서울 동대문구 용두동 39-9,02-2127-4310,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100872&thumb=Y,www.ddm.go.kr,평일:9시~18시,,매주 토요일 일요일 공휴일,무료
200,기타,동대문구체육관,1,제기역,서울 동대문구 답십리동 2-294,02-2247-9611~4,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100756&thumb=Y,http://www.dfmc.kr,운영시간: 06:00 ~ 22:00,,국경일 대관행사시 휴관,유료
201,문화예술회관,동대문구문화회관,5,답십리역,서울 동대문구 답십리로 210-9,02-2215-0586~7,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100855&thumb=Y,http://tour.ddm.go.kr/culture/culturalFacility_1,,,법정 공휴일,유료
202,미술관,동덕아트갤러리,3,안국역,서울 종로구 관훈동 151-4,02-732-6458~9,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100348&thumb=Y,,10:00 ~ 19:0010:00 ~ 18:00(7~8월 1~2월 토일요일공휴일),,연중무휴,유료
203,박물관/기념관,동덕여자대학교 박물관,6,월곡역,서울 성북구 하월곡동 23-1,02-940-4231,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100237&thumb=Y,http://museum.dongduk.ac.kr,월~금 10:30~16:00,무료,방학중 휴관,무료
204,공연/전시장,동방예술극장,4,혜화역,서울 마포구 노고산동 33-22,02-712-3865,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100161&thumb=Y,,,,,유료
205,미술관,동산방화랑,1,종각역,서울 종로구 견지동 93,02-733-5877,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100323&thumb=Y,,10:00~18:00,무료,전시시 무휴,무료
206,미술관,동서화랑,4,명동역,서울 종로구 관훈동 196-3,02-733-9585,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100350&thumb=Y,,10:00 ~ 19:00,무료,연중무휴,무료
207,공연/전시장,동숭무대,4,혜화역,서울 종로구 혜화로 35,010-8923-1512,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101449&thumb=Y,http://cafe.naver.com/dsstage,,,-,무료
208,공연/전시장,동숭아트센터,4,혜화역,서울 종로구 동숭동 1-5,02-766-3390,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100372&thumb=Y,www.dsartcenter.co.kr,10:00 ~ 22:30,공연장별로 나뉘어짐,,유료
209,문화예술회관,동작문화재단,9,흑석역,서울 동작구 흑석로 93-1,02-826-9330,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=941cab4372da45018084c086b870d517&thumb=Y,www.idfac.or.kr,,0,토 일요일 및 공휴일,무료
210,미술관,동작아트갤러리,7,보라매역,서울 동작구 보라매로5길 28-1,070-7204-3257,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=64112524fe494dd690760322fc821827&thumb=Y,https://www.idfac.or.kr/sub_new/menu02_01_01.php,,0,매주 일?월요일 법정공휴일,무료
211,미술관,동호갤러리,"1, 3, 5",종로3가역,서울 종로구 관훈동 197-18,02-722-3665,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100351&thumb=Y,,10:00 ~ 19:00,,,유료
212,미술관,두산갤러리,1,종로5가역,서울 종로구 종로33길 15,02-708-5050,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101525&thumb=Y,https://www.doosanartcenter.com/ko/exhibit/main,,,매 주 월요일,무료
213,공연/전시장,두산아트센터 space111,1,종로5가역,서울 종로구 연지동 270,02-708-5001~3,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100458&thumb=Y,www.doosanartcenter.com,,,,유료
214,공연/전시장,두산아트센터연강홀,1,종로5가역,서울 종로구 연지동 270,02-708-5001,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100457&thumb=Y,www.yonkang.co.kr,공연별로 다름,공연별로 다름 (회원 10~ 20% DC),연중무휴,유료
215,박물관/기념관,둘리뮤지엄,4,쌍문역,서울 도봉구 쌍문동 산 250,02-990-2200,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=4c6a907b70584b3f8c8d9d3e8dc561ae&thumb=Y,https://www.doolymuseum.or.kr,,0,매주 월요일 1월1일 설날 및 추석 당일,무료
216,문화원,드플로허,6,이태원역,서울 용산구 대사관로5길 34,02-790-5246,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=95e8c5d7deb74590b759b6448d3f9442&thumb=Y,http://blog.naver.com/deflore1,,0,매주 화요일 목요일,무료
217,미술관,디뮤지엄,수인분당,서울숲역,서울 용산구 독서당로29길 5-6,070-5097-0020,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000101030&thumb=Y,http://www.daelimmuseum.org/dmuseum/index.do,,,매주 월,
218,미술관,디지털 파빌리온,경의중앙,수색역,서울 마포구 상암동 1605,02-2132-0500~2,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100669&thumb=Y,http://www.digitalpavilion.co.kr,10:00~18:00,무료,일요일 신정 설 추석 연휴,무료
219,공연/전시장,떡박물관,"1, 3, 5",종로3가역,서울 종로구 와룡동 164-2,02-741-5447,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100461&thumb=Y,www.tkmuseum.or.kr,평일 10:00~17:00일요일 12:00~17:00,일반 3000원초중고생 2000원,추석 설날 당일휴무,유료
220,기타,떼아뜨르 秋,"2, 경의중앙, 공항",홍대입구역,서울 마포구 서교동 358-116,02-323-5573,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100171&thumb=Y,,화수목요일 7:30 / 금토일공휴일 4:30 7:30,일반 2만원 / 학생 1만5천원,,유료
221,기타,뚝섬전망문화콤플렉스,7,뚝섬유원지역,서울 광진구 자양동 97-5,02-3780-0517,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100935&thumb=Y,www.j-bug.co.kr,,,,
222,기타,롯데월드,"2, 8",잠실역,서울 송파구 잠실동  올림픽로 240,02-411-2000,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100713&thumb=Y,http://www.lotteworld.com,,유료,,유료
223,문화원,롯데월드 아이스링크,"2, 8",잠실역,서울 송파구 올림픽로 240,02-411-2000,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100257&thumb=Y,www.lotteworld.com/icerink,,어른 5500원 어린이 4500원,연중무휴,유료
224,공연/전시장,롯데월드 야외공연장,"2, 8",잠실역,서울 송파구 잠실동 47,02-411-2000,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100253&thumb=Y,http://www.lotteworld.com,,,,유료
225,미술관,롯데월드 화랑,"2, 8",잠실역,서울 송파구 잠실동 40-1,02-411-6932,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ATH_SPC_000000000000000000100261&thumb=Y,http://www.lotteworld.com/Family_gallery/main.asp,,무료,,무료
