분류,공연/행사명,장소,주소,주요 역,기관명,홈페이지,이용대상,이용요금,출연자정보,프로그램소개,기타내용,대표이미지,신청일,시민/기관,시작일,종료일,테마분류
문화교양/강좌,2022 Visit Museum Enjoy Seoul!,줌(Zoom),서울특별시 종로구 새문안로 55 서울역사박물관,광화문역,서울역사박물관,https://museum.seoul.go.kr/www/board/NR_boardView.do?sso=ok,외국인 단체 대상,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=78c928371793411faff597b3dc45eacf&thumb=Y,2022-02-11,기관,2022-02-21,2022-11-30,
전시/미술,[경교장 작은전시] '임시정부 첫 국무위원회 경교장에서 열리다' 개최,경교장(서울시 종로구 새문안로 29 강북삼성병원 내),서울시 종로구 새문안로 29 강북삼성병원 내,서대문역,서울역사박물관,https://museum.seoul.go.kr/www/intro/annexIntro/annex_21/annex_21_01.jsp,총 30명 이용 가능 - 서울시 공공예약 사전접수자(20명) 현장접수(10명) (※코로나 백신 접종완료자 PCR 음성확인자 예외자만 가능),무료,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e16befa6396b4fa39617e1861db1f9d8&thumb=Y,2021-12-15,기관,2021-12-03,2022-04-24,기타
문화교양/강좌,[서울로 수학여행] 서울 역사의 길 종로탐험,학급 교실,서울특별시 종로구 새문안로 55 서울역사박물관,광화문역,서울역사박물관,https://www.facebook.com/seoulmuseum.korea,도서?벽지 초등학교 학급 단체(3~6학년 권장),,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=7037f3a2c2e942dfafadc8994f2a5ba4&thumb=Y,2022-02-28,기관,2022-04-14,2022-04-28,
문화교양/강좌,제 32기 고등학생 인턴제 ,서울역사박물관 1학습실 줌(Zoom),서울특별시 종로구 새문안로 55 서울역사박물관,광화문역,서울역사박물관,,청소년 ,무료,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=a0e62f4f5d6346d5b305bbfa868f45c7&thumb=Y,2022-01-10,기관,2022-02-12,2022-03-05,
전시/미술,강병기 교수 기증유물특별전 '어느 도시학자가 꿈 꾼 서울',서울역사박물관 기획전시실B,서울특별시 종로구 새문안로 55 서울역사박물관,광화문역,서울역사박물관,,전체,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=54fbbca4f7bd4bf9921fbb61c4ec50f7&thumb=Y,2021-10-20,기관,2021-10-29,2022-03-06,
전시/미술,한양의 상징대로 육조거리,서울역사박물관 1층 기획전시실,서울특별시 종로구 새문안로 55 서울역사박물관,광화문역,서울역사박물관,,전체,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=875cc054457c451b957d2d6dc6ad7076&thumb=Y,2021-11-18,기관,2021-11-16,2022-03-27,
문화교양/강좌,미생물 : 관찰과 배양,서울하수도과학관 2층 교육실,서울특별시 성동구 자동차시장3길 64,"장한평역, 용답역",서울하수도과학관,http://sssmuseum.org,초등학생 3학년 이상,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=5e68911f02cf4509aacdb42a4249cf7f&thumb=Y,2022-02-14,기관,2022-03-05,2022-03-26,
문화교양/강좌,하수도 온앤오프,zoom 온라인수업,서울특별시 성동구 자동차시장3길 64,"장한평역, 용답역",서울하수도과학관,http://sssmuseum.org,미취학아동~초등학생 저학년,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=07d1c92290fb4f428eb74b37f28bc8a8&thumb=Y,2022-02-14,기관,2022-03-03,2022-03-31,
전시/미술,서리풀 休 갤러리 <산의 비밀> 김태민 개인전,심산문화센터 서리풀 休 갤러리,"서울특별시 서초구 사평대로 55, 1층",구반포역,서초문화재단,https://www.seochocf.or.kr/site/main/seocho/show/view?show_idx=415,전체,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0963daffb4d54ac7a94299fbdd01831c&thumb=Y,2022-02-16,기관,2022-01-27,2022-03-25,
전시/미술,서리풀청년아트갤러리 <어떤 순간의 작은 픽셀>,서리풀청년아트갤러리,서울 서초구 남부순환로323길 1,남부터미널역,서초문화재단,https://www.seochocf.or.kr/site/main/seocho/show/view?show_idx=416,전체,,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=ab495fd914d2468aa79818f8405d05bb&thumb=Y,2022-02-16,기관,2022-02-08,2022-03-05,
연극,1919 필라델피아,성수아트홀,서울 성동구 뚝섬로1길 43,뚝섬역,성동문화재단,https://www.sdfac.or.kr/kor/sdfac/performance/plan_view.do?p_idx=656&page=1&p_kind=&s_idx=&s_keyword=#none,만 7세 이상,5만원 3만원,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=211700604d824608b9e1ef676284d06d&thumb=Y,2022-02-23,기관,2022-03-05,2022-03-06,
무용,안무가전 TANZ ARGUMENT,성수아트홀,서울 성동구 뚝섬로1길 43,뚝섬역,성동문화재단,https://www.sdfac.or.kr/kor/sdfac/performance/plan_view.do?p_idx=660&page=1&p_kind=&s_idx=&s_keyword=,홈페이지 참고,홈페이지 참고,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=18a7b06e25f1492d9b5ccb6b9b583033&thumb=Y,2022-02-21,기관,2022-03-11,2022-03-12,
전시/미술,칸딘스키 말레비치 & 러시아 아방가르드 : 혁명의 예술展,세종문화회관 미술관,서울특별시 종로구 세종대로 175 (세종로),"경복궁역, 광화문역",세종문화회관,https://www.sejongpac.or.kr/portal/performance/exhibit/list.do?menuNo=200005,만4세 이상,관 람 료: 성인 20000/ 청소년 15000원/ 어린이 13000원,칸딘스키 말레비치 등 러시아 아방가르드 작가 49인,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=20a22d1ab43e458b9de77b8bebeadce8&thumb=Y,2021-11-15,시민,2021-12-31,2022-04-17,기타
전시/미술,프랑스 국립 자연사박물관 특별전 - 바다미지로의탐험,꿈의숲 상상톡톡미술관,서울 강북구 월계로 173,미아사거리역,세종문화회관,https://www.sejongpac.or.kr/portal/performance/exhibit/view.do?performIdx=32288&menuNo=200005&sdate=2021-10-14&edate=2021-11-14&pageIndex=1,전체 관람가 ,대인 (중학생이상~) 입장권 : 12000원 소인 (만 36개월~ 초등학생) 입장권 : 15000원,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=0486dfd544ba4788b5817e1e201c0ae4&thumb=Y,2021-10-14,기관,2021-09-25,2022-03-06,
뮤지컬/오페라,가족뮤지컬 <슈퍼클로젯>,세종M씨어터,서울특별시 종로구 세종대로 175 (세종로),"경복궁역, 광화문역",세종문화회관,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=32653&menuNo=200004&sdate=2022-01-07&searchWrd=&searchSort=1&searchCnd=&searchPlaceCdStr=&edate=2022-02-07&searchGenreCdStr=&searchPackage=&pageIndex=1,36개월이상 ,VIP석 70000원 R석 50000원 S석 30000원,,,* 2월1일 2월2일(설날연휴/화수) 3월1일(삼일절/화) 3월9일(대통령선거일/수) : 11시 14시,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=d386318db41b4606b934c4ce8a4ae4eb&thumb=Y,2022-01-07,기관,2022-01-08,2022-03-20,
뮤지컬/오페라,뮤지컬 <엑스칼리버>,세종대극장,서울특별시 종로구 세종대로 175 (세종로),"경복궁역, 광화문역",세종문화회관,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=32750&menuNo=200004&sdate=2022-01-10&searchWrd=&searchSort=1&searchCnd=&searchPlaceCdStr=&edate=2022-02-10&searchGenreCdStr=&searchPackage=&pageIndex=3,8세 이상,VIP석 150000원 ㅣ VIP가변석 150000원 R석 130000원 ㅣ R가변석 130000원 S석 100000원 ㅣ S가변석 100000원 A석 80000원 ㅣ A가변석 80000원 B석 60000원 ㅣ B가변석 60000원 ,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=39aa2a987c144d6d8166f51f9b45c915&thumb=Y,2022-01-10,기관,2022-01-29,2022-03-13,
콘서트,2022 트리오 바스 콘서트,세종체임버홀,서울특별시 종로구 세종대로 175 (세종로),"경복궁역, 광화문역",세종문화회관,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=32854&menuNo=200004&sdate=2022-02-24&searchSort=2&searchPlaceCdStr=&edate=2022-03-24&searchGenreCdStr=&pageIndex=2,초등학생 이상 관람,전석 20000원,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e821749f8a7641778467d558ffaa139f&thumb=Y,2022-02-24,기관,2022-03-03,2022-03-03,
뮤지컬/오페라,뮤지컬 <프리다>: The Last Night Show,세종S씨어터,서울특별시 종로구 세종대로 175 (세종로),"경복궁역, 광화문역",세종문화회관,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=32867&menuNo=200004&sdate=2022-02-24&searchSort=2&searchPlaceCdStr=&edate=2022-03-24&searchGenreCdStr=&pageIndex=1,14세이상 관람 가능 (2009년 12월 31일 출생자까지),R석 80000원 S석 70000원,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=664e21afc62a43bb8a24e47f8bf44381&thumb=Y,2022-02-24,기관,2022-03-01,2022-05-29,
독주/독창회,권효진 귀국 피아노 독주회,세종체임버홀,서울특별시 종로구 세종대로 175 (세종로),"경복궁역, 광화문역",세종문화회관,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=32868&menuNo=200004&sdate=2022-02-24&searchSort=2&searchPlaceCdStr=&edate=2022-03-24&searchGenreCdStr=&pageIndex=2,만 7세이상 입장가능,전석 20000원 ,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e7c0057bb43a4ffca8608de48f52728e&thumb=Y,2022-02-24,기관,2022-03-15,2022-03-15,
독주/독창회,신수정 피아노 독주회,세종체임버홀,서울특별시 종로구 세종대로 175 (세종로),"경복궁역, 광화문역",세종문화회관,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=32887&menuNo=200004&sdate=2022-02-23&searchWrd=&searchSort=1&searchCnd=&searchPlaceCdStr=&edate=2022-03-23&searchGenreCdStr=&searchPackage=&pageIndex=3,미취학아동 입장불가,전석 20000원,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=e3ecb5d0dec34ef79d3e8af14a3ac70a&thumb=Y,2022-02-25,기관,2022-03-09,2022-03-09,
콘서트,톤픽쳐 토크콘서트,꿈의숲 콘서트홀,서울 강북구 월계로 173,미아사거리역,세종문화회관,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=32896&menuNo=200004&sdate=2022-02-24&searchSort=2&searchPlaceCdStr=&edate=2022-03-24&searchGenreCdStr=&pageIndex=1,미취학아동 입장불가 ,전석 10000원,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=3eaedbf9c8d74a458387872345b23694&thumb=Y,2022-02-24,기관,2022-03-05,2022-03-05,
클래식,음악 소울넘버를 만나다,꿈의숲 콘서트홀,서울 강북구 월계로 173,미아사거리역,세종문화회관,https://www.sejongpac.or.kr/portal/performance/performance/view.do?performIdx=32898&menuNo=200004&sdate=2022-02-24&searchSort=2&searchPlaceCdStr=&edate=2022-03-24&searchGenreCdStr=&pageIndex=2,미취학아동 입장불가 ,전석 20000원,,,,https://culture.seoul.go.kr/cmmn/file/getImage.do?atchFileId=cb38c94980af48718cf9c84a1661446c&thumb=Y,2022-02-24,기관,2022-03-06,2022-03-06,
